Date_dd_mm_yyyy,Distance_mm,Height_cm
05032021,202.46,7.573
05032021,202.65,7.573
05032021,202.84,7.573
05032021,203.025,7.573
05032021,203.215,7.573
05032021,203.4,7.572
05032021,203.59,7.57
05032021,203.78,7.575
05032021,203.965,7.57
05032021,204.155,7.573
05032021,204.34,7.574
05032021,204.53,7.576
05032021,204.72,7.568
05032021,204.905,7.568
05032021,205.095,7.567
05032021,205.28,7.563
05032021,205.47,7.565
05032021,205.66,7.567
05032021,205.845,7.563
05032021,206.035,7.563
05032021,206.22,7.56
05032021,206.41,7.563
05032021,206.6,7.563
05032021,206.785,7.562
05032021,206.975,7.559
05032021,207.16,7.559
05032021,207.35,7.559
05032021,207.54,7.557
05032021,207.725,7.554
05032021,207.915,7.554
05032021,208.1,7.554
05032021,208.29,7.554
05032021,208.48,7.552
05032021,208.665,7.549
05032021,208.855,7.549
05032021,209.04,7.548
05032021,209.23,7.544
05032021,209.42,7.543
05032021,209.605,7.537
05032021,209.795,7.532
05032021,209.98,7.524
05032021,210.17,7.523
05032021,210.36,7.52
05032021,210.545,7.521
05032021,210.735,7.524
05032021,210.92,7.52
05032021,211.11,7.524
05032021,211.3,7.521
05032021,211.485,7.515
05032021,211.675,7.515
05032021,211.86,7.515
05032021,212.05,7.515
05032021,212.24,7.516
05032021,212.425,7.518
05032021,212.615,7.515
05032021,212.8,7.515
05032021,212.99,7.515
05032021,213.18,7.516
05032021,213.365,7.518
05032021,213.555,7.516
05032021,213.74,7.518
05032021,213.93,7.515
05032021,214.12,7.515
05032021,214.305,7.515
05032021,214.495,7.515
05032021,214.68,7.515
05032021,214.87,7.515
