Sample_ID,Region,Mg,Al,Si,P,S,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ag,Cd,Sn,Sb,Ba,La,Ce,Pr,Nd,W,Hg,Pb,Bi,Th,U
141,North,0,0,347,11458,18093,27915,556,241,0,0,91,81,0,0,4,31,5,0,2,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,39,9
142,North,3837,0,248,12126,20015,32057,663,122,0,0,94,72,0,0,7,30,7,0,2,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,43,10
142,North,4284,0,329,12153,20072,32082,687,115,0,0,99,79,4,0,9,31,7,0,3,6,0,0,0,3,0,0,0,0,25,0,0,0,82,0,0,0,0,41,10
142,North,3402,0,296,12154,20091,32031,718,113,0,0,101,72,0,0,7,30,7,0,2,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,43,11
146,North,3564,655,260,12314,19718,27854,552,231,0,0,83,65,3,0,4,31,7,0,2,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,38,10
146,North,5402,623,216,12312,19737,27944,561,185,0,0,93,63,3,0,3,33,7,0,2,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,40,9
146,North,3257,0,188,12305,19718,27840,549,214,0,0,84,69,0,0,4,32,7,0,2,7,0,0,0,2,0,0,0,0,0,0,0,0,110,0,0,0,0,38,10
146,North,6142,0,193,12190,19564,27979,588,119,0,0,78,67,0,0,4,31,7,0,2,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,37,10
146,North,4934,0,283,12167,19493,27927,587,141,0,0,76,64,0,0,4,30,7,0,2,7,0,0,0,3,0,0,0,0,0,31,0,0,0,0,0,0,0,38,10
146,North,4080,716,396,12143,19914,27944,609,132,0,0,83,68,3,0,5,30,7,0,2,7,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,37,10
157,North,4894,0,265,12724,18612,30363,601,217,0,0,93,85,4,0,6,34,4,0,2,6,0,0,0,2,0,0,0,0,18,0,0,0,0,0,0,0,0,39,10
157,North,4969,0,256,12691,18528,30292,620,166,0,0,92,83,4,0,4,33,4,0,2,6,0,0,0,2,0,0,0,0,21,0,43,59,0,0,0,0,0,40,10
157,North,3618,0,225,12733,18586,30320,594,176,0,0,101,84,0,0,4,33,4,0,2,6,0,0,0,2,0,0,0,0,0,0,0,61,0,0,0,0,0,41,11
160,North,0,0,302,11290,18796,29462,536,274,0,0,79,55,4,0,32,33,4,0,2,5,0,0,0,2,0,0,0,0,0,0,43,83,89,0,0,0,0,41,10
160,North,4063,0,286,11336,19119,29423,565,260,0,0,80,58,0,0,31,34,5,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,10
160,North,3889,0,284,11363,18988,29361,565,265,0,0,80,55,0,0,32,33,5,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,10
160,North,0,0,229,11050,18072,28782,560,248,0,0,86,57,5,0,14,32,5,0,2,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,38,11
160,North,4900,0,281,11045,17948,28736,567,239,0,0,90,55,4,0,13,33,5,0,2,5,0,0,0,2,0,0,0,0,27,0,36,57,91,0,0,0,0,40,9
160,North,3658,0,328,11027,18443,28837,544,217,0,0,83,56,4,0,13,32,5,0,2,5,0,0,0,0,0,0,0,0,31,43,0,0,0,0,0,0,0,38,11
161,North,3121,0,317,11635,20195,28857,352,112,0,0,62,66,0,0,3,22,6,0,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,35,8
161,North,2851,0,309,11634,20243,28862,365,126,0,0,55,67,0,0,4,22,6,0,2,3,0,0,0,3,0,0,0,0,0,32,0,65,0,0,0,0,0,36,7
161,North,0,0,317,11690,20172,28938,351,123,0,0,53,68,0,0,5,23,6,0,2,3,0,0,0,3,0,0,0,0,0,0,0,70,102,0,0,0,0,35,7
181,North,0,0,277,10874,17294,25173,824,128,0,0,143,65,5,0,7,30,0,0,1,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,46,12
181,North,0,0,410,10945,17299,25008,768,119,0,0,132,67,3,0,6,30,0,0,2,6,0,0,0,2,0,0,0,0,19,30,40,0,0,0,0,0,0,44,12
181,North,3776,877,282,10984,17405,25121,781,140,0,0,128,69,0,0,6,29,0,0,1,5,0,0,0,3,0,0,0,0,0,0,0,0,92,0,0,1,0,45,12
182,North,4242,0,372,10130,16540,20893,813,510,0,0,123,68,0,0,5,33,0,0,2,5,0,0,0,2,2,0,0,0,0,0,0,0,87,0,0,0,0,41,11
182,North,4120,0,367,10172,16517,20955,797,516,0,0,113,68,4,0,6,32,0,0,2,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,43,12
182,North,0,0,369,10152,16558,20984,786,518,0,0,114,66,0,0,5,31,1,0,2,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,40,11
